id,name,community,degree
facebook.com/groups/314374452423285,ПРИЛУКИ ONLINE (Найсвіжіші новини міста),13,29
facebook.com/groups/524591194416747,●ARREPENTIDOS DE VOTAR A MILEI,8,141
facebook.com/groups/237587617442784,RAYON SPORTS TWIHEBEYE IBYISHIMO BYACU��������,15,4
facebook.com/groups/107680415952511,BARRIO SAN VICENTE PARAGUAY,8,4
facebook.com/groups/1506947709600235,"HOY Y POR SIEMPRE, TABARE VAZQUEZ ,FRENTE AMPLIO",8,4
facebook.com/groups/2435971290001194,Barrio Obrero,8,4
facebook.com/groups/275379650584146,La letra chica FA ✊,8,25
facebook.com/groups/1848064515265731,МІЙ ВИБІР - ЖИТТЯ!,13,27
facebook.com/472977806189922,Fórum de Leitores - Jornalistas Livres,8,6
facebook.com/groups/1060756537441815,#CON EL MAZO DANDO Y EL CAPITAN DIOSDADO CABELLO,8,2
facebook.com/785330608266029,GRUPO DE APOIO AO BRASIL,2,11
facebook.com/groups/1083815718468327,Brasil Unido jamais será vencido.,2,76
facebook.com/groups/1318833841629778,A ONDA CONSERVADORA,2,26
facebook.com/groups/1844897409130363,#Globolixo #ImprensaLixo,2,154
facebook.com/groups/561813371057548,FORÇABRASIL,2,459
facebook.com/groups/727708650989049,TROPA 22!!!🇧🇷🇧🇷🇧🇷,2,167
facebook.com/groups/1779194972139918,Hortolândia Notícias Gerais,2,76
facebook.com/groups/213522646692957,ESPERANÇA EM LULA 2023,2,34
facebook.com/groups/34690217105,Schopenhauer,2,5
facebook.com/groups/792501111511556,Brasil Unido - Todos Contra Bolsonaro,2,138
facebook.com/groups/308601583019309,PROPERTY RWANDA,15,84
facebook.com/1385816068111458,SEGUIDORES DE ROCÍO NAHLE OFICIAL,1,186
facebook.com/356974751445148,amlo no estas solo,1,149
facebook.com/387811845034982,Grupo De Vamos Con AMLO ✅,1,45
facebook.com/groups/106534682747858,Sólo buenas noticias,1,10
facebook.com/groups/1138220886562046,Beatriz Gutiérrez Müller,1,363
facebook.com/groups/1618755695026785,"LAS NOTICIAS DE FRONTERA, CENTLA TABASCO",1,27
facebook.com/groups/1880898382142915,SOMOS LOS ANTI PRIANRD KRAUZES BOROLAS BARBAS PIOJOSAS FAUNA NEOLIBERAL,1,209
facebook.com/groups/2537605109606036,Amigos del Lopezobradorismo de Base,1,187
facebook.com/groups/260831195695380,Chihuahua con la 4T ❤️,1,54
facebook.com/groups/1059839880787836,POR SIEMPRE CRISTINA KIRCHNER💗✌,8,237
facebook.com/groups/1958966184319592,estamos con ELLA,8,129
